"","district","postcode","n","per_of_district","per_of_postcode"
"430","KEIRA","2516",365,0.955522395874237,11.9947420308906
"431","KEIRA","2530",46,0.120422000575931,0.283216352665928
"432","KELLYVILLE","2155",24372,63.7993769796602,77.8359734287174
"433","KELLYVILLE","2153",11992,31.3918483809324,41.7577825753883
"434","KELLYVILLE","2154",1836,4.80615690688725,8.45927018061187
"435","KELLYVILLE","2768",1,0.0026177325200911,0.010482180293501
"436","KIAMA","2527",11776,26.1398446170921,88.6413248024087
"437","KIAMA","2533",9869,21.9067702552719,100
"438","KIAMA","2541",9446,20.9678135405105,54.0110926868317
"439","KIAMA","2535",5887,13.0677025527192,100
"440","KIAMA","2534",4113,9.12985571587125,100
"441","KIAMA","2540",2499,5.54716981132075,7.16148445336008
"442","KIAMA","2577",1291,2.86570477247503,11.6705839811969
"443","KIAMA","2529",76,0.168701442841287,0.485003190810466
"444","KIAMA","2530",74,0.164261931187569,0.455608915158232
"445","KIAMA","2622",19,0.0421753607103219,0.445277712678697
"446","KOGARAH","2220",19615,33.0580601668492,94.0993043895419
"447","KOGARAH","2218",10293,17.3472655262493,100
"448","KOGARAH","2207",9665,16.2888682902166,72.9489018039097
"449","KOGARAH","2217",9307,15.6855144518412,45.8044195088341
"450","KOGARAH","2221",5461,9.2036740540996,66.8175700477181
"451","KOGARAH","2208",3207,5.4049043566192,51.8680252304706
